old_name,new_name,timestamp
ChemActiva_Photo_01.webp,team_office_group_01.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_02.webp,team_workshop_02.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_03.webp,lab_rnd_setup_03.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_04.webp,lab_equipment_closeup_04.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_05.webp,pilot_plant_equipment_05.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_06.webp,pilot_plant_overview_06.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_07.webp,event_demonstration_07.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_08.webp,award_event_08.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_09.webp,product_display_crystalline_nano_cellulose_09.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_10.webp,product_display_oil_spill_kit_10.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_11.webp,panel_discussion_11.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_12.webp,trade_stall_or_poster_12.webp,2025-09-22T05:38:08+05:30
ChemActiva_Photo_13.webp,group_portrait_13.webp,2025-09-22T05:38:08+05:30
